問題文,画像ファイル,選択肢1,選択肢2,選択肢3,選択肢4,画像の著作権表記
2021年の時点で、最も売れたゲームはどれ?,,Minecraft,Grand Theft Auto V,Wii Sports,PlayerUnknown's Battlegrounds,
Minecraft の次のブロックの名前は?,nakasone_soul_soil.png,ソウルソイル,ネザーウォートブロック,ポドゾル,ナイリウム,
次のゲーム機のうち、日本で発売された時期が最も古いゲーム機はどれ。,,プレイステーション (PS1),セガサターン,Nintendo 64,ゲームボーイカラー,
スーパーマリオブラザーズ2 で最初に出てくる敵キャラはどれ。,,パタパタ,クリボー,ノコノコ,メット,
ドラゴンクエスト3 で魔法使いが覚える呪文「レムオル」の効果は。,,透明になる,扉の鍵を開ける,ダンジョンから脱出する,落ちているアイテムが光る,
ファイナルファンタジー3 の「ヘイスト」の効果は,,戦闘中の攻撃回数が増える,戦闘中の素早さが上がる,行動ターンが早く回ってくる,戦闘中の回避率がアップする,
メタルギアソリッドシリーズで、一番古い時代を描いた作品はどれか。,,メタルギアソリッド3 スネークイーター,メタルギアソリッド2 サンズ・オブ・リバティ,メタルギアソリッド,メタルギア,
スーパードンキーコング2 で、ゲームのセーブを担当するキャラクターは誰。,,リンクリーコング,キャンディーコング,クランキーコング,ディクシーコング,
星のカービィスーパーデラックスで、ホイールのコピー能力を獲得できる敵は誰,,ウィリー,ロッキー,チリー,バードン,
モンスターハンターシリーズで、1作目から登場する武器種はどれ。,,ランス,双剣,太刀,スラッシュアックス,